year,ecoregion,state,severity,struccond,hectares_burned,lsr_hectares_burned,region_hectares,region_lsr_hectares,region_og_hectares,region_lsr_og_hectares,yr_group
1986,Coast Range,Oregon,Very low / unburned,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Nonforest,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Sparse,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Open,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Sapling/pole - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Small/medium tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Large tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very low / unburned,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Low / moderate,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Moderate / high,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,High,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Coast Range,Oregon,Very high,Large/giant tree - moderate/closed,0.0,0.0,2358035.030915044,353348.44332383265,321566.49,132543.36,1985 - 2019
1986,Olympic Peninsula,Washington,Very low / unburned,Nonforest,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low,Nonforest,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
1986,Olympic Peninsula,Washington,Low / moderate,Nonforest,0.0,0.0,1733874.3235972885,149682.15010059494,354852.45,67318.01999999999,1985 - 2019
