system:index,CHILI,EVH,rdnbr,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,Max Gust,Slope,struccond
0_0,167,11,1015.373758,135.79814,43,56,9.2,12,-44,17.73999977,30.401398,1
1_0,238,10,950.6457407,174.47667,37,53,9.3,12.9,70,37.36000061,36.47981,1
3_0,171,11,816.0922263,37.131367,44,55,9.7,11.7,16,24.75,3.008336,1
4_0,174,10,1039.796768,95.846,60,74,7.2,8.5,-38,22.37999916,8.881465,1
5_0,171,10,439.9063426,84.409454,59,73,6.6,8.7,19,16.76000023,14.239294,1
7_0,107,11,945.7976723,24.622135,62,76,5.8,8.6,-61,17.86999893,18.685974,1
8_0,184,10,1204.016023,122.14948,42,55,10,12,65,16.85000038,15.806951,1
9_0,150,1,1030.237609,20.12494,41,56,8.4,12.1,46,32.15999985,9.232349,1
11_0,153,11,984.5231454,37.229805,34,46,11.2,13.1,13,28.14999962,7.403366,1
12_0,208,11,824.7425189,191.29712,37,53,9.6,12.4,39,33.29000092,14.550987,1
13_0,181,11,998.8196546,121.24639,34,45,11.5,13.5,6,25.07999992,0.64756936,1
14_0,127,10,1070.71921,95.37102,41,53,9.8,12.3,-39,28.38999939,35.287617,1
15_0,180,9,485.1482964,115.1478,47,63,7.6,11,40,18.5,10.821964,1
16_0,250,10,585.1998206,194.26399,51,61,8.5,10.7,10,24.22999954,39.17229,1
17_0,202,10,2608.667279,184.93617,46,60,8.1,11.7,74,19.94999886,7.779236,1
18_0,160,10,915.2204812,105.11933,35,46,11.2,13.4,19,24.1099987,20.005219,1
19_0,145,11,1150.613584,329.90994,43,56,9.2,12,-41,17.57999992,24.335213,1
20_0,207,1,1137.227414,145.74536,41,53,9.8,12.3,71,27.68999863,27.484402,1
21_0,122,11,981.3819429,0.028516863,46,60,8.2,11.5,-15,20.53999901,18.982512,1
22_0,194,10,4027.001917,271.71063,62,76,5.8,8.6,-39,18.30999947,14.315314,1
23_0,189,4,226.8131109,272.37183,33,48,11.1,13.1,17,27.34000015,11.12083,1
24_0,222,1,480.1491958,155.47649,46,62,8,10.4,135,20.53999901,32.162514,1
25_0,224,10,1181.398679,182.03812,39,54,9.2,12.1,17,33.29000092,15.999647,1
26_0,103,10,638.3158181,22.84532,35,46,11.2,13.4,43,21.05999947,23.069355,1
27_0,36,8,558.4323722,26.962147,54,75,6.7,8.6,0,12.47999954,37.81515,1
28_0,54,11,1104.561811,30.205189,34,49,9.6,13.8,10,36.88999939,32.313553,1
29_0,202,11,2867.912875,264.27655,61,74,6.2,8.9,65,21.39999962,17.875072,1
30_0,194,10,834.87231,176.6971,34,46,11,13.1,37,18.88999939,4.5821886,1
31_0,194,11,1023.407516,257.77557,39,54,9.2,12.1,70,34.30999756,6.3672485,1
32_0,158,1,1145.39751,341.63055,44,57,8.9,11.7,34,18.97999954,20.739603,1
33_0,159,1,851.0153823,114.19734,59,74,6.2,9,-89,14.43999958,35.475994,1
35_0,190,1,881.6237257,259.01108,35,49,10.5,12.9,22,28.97999954,6.6347895,1
36_0,179,1,1070.446072,127.46291,35,46,11.2,13.4,25,21.86999893,26.033508,1
37_0,232,1,953.8234556,178.95483,62,77,6,8.2,-101,20.93999863,19.558836,1
38_0,217,1,1109.064393,227.209,51,64,7.5,10.8,80,21.01000023,13.304618,1
40_0,246,9,1100.834312,202.37753,37,53,8.8,13,49,33.88999939,28.895536,1
41_0,173,1,1044.64206,301.58755,43,55,9.2,12.4,-29,20.09000015,10.127478,1
42_0,239,1,1069.924931,181.87303,44,57,8.9,11.7,65,18.46999931,27.441484,1
43_0,176,11,1233.128981,288.87433,41,53,9.5,12.1,-20,30.95999908,25.319757,1
44_0,223,11,517.2547151,238.98604,45,57,8.6,12.1,-96,23.42000008,22.59035,1
45_0,188,10,733.4737463,151.60272,34,50,10.3,12.8,-13,24.65999985,4.778449,1
46_0,162,11,2394.824235,294.86566,42,55,9.3,11.9,37,15.75,24.138206,1
47_0,164,0,817.8091543,87.51375,54,75,6.7,8.5,-2,18.84000015,10.456597,1
48_0,232,1,858.0602615,220.60002,44,57,8.9,11.7,23,18.93000031,20.149271,1
49_0,210,11,592.547422,255.0792,43,54,9.4,12.7,2,23.42000008,24.14802,1
