system:index,CHILI,EVH,RdNBR_early,RdNBR_update,comp,diff,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,max_FRP,Max Gust,Slope,Structural Class,sum_FRP
0_0,167,11,1015.373758,352.5250984,1015.373758,662.8486596,135.79814,43,56,9.2,12,-44,6322.4365,17.73999977,30.401398,1,385283.7924
1_0,238,10,950.6457407,832.5677254,950.6457407,118.0780153,174.47667,37,53,9.3,12.9,70,7255.7817,37.36000061,36.47981,1,102163.6768
3_0,171,11,816.0922263,269.5441941,816.0922263,546.5480322,37.131367,44,55,9.7,11.7,16,4227.234,24.75,3.008336,1,123803.7121
4_0,174,10,1039.796768,675.992141,1039.796768,363.804627,95.846,60,74,7.2,8.5,-38,9525.049,22.37999916,8.881465,1,440450.8925
5_0,171,10,266.4576214,439.9063426,439.9063426,-173.4487212,84.409454,59,73,6.6,8.7,19,6142.327,16.76000023,14.239294,1,348351.1601
7_0,107,11,945.7976723,581.7520908,945.7976723,364.0455815,24.622135,62,76,5.8,8.6,-61,9176.859,17.86999893,18.685974,1,550872.9478
8_0,184,10,1204.016023,995.3103628,1204.016023,208.7056602,122.14948,42,55,10,12,65,4882.8223,16.85000038,15.806951,1,152197.5562
9_0,150,1,1030.237609,518.7803948,1030.237609,511.4572142,20.12494,41,56,8.4,12.1,46,9808.111,32.15999985,9.232349,1,265677.4899
11_0,153,11,984.5231454,916.4379916,984.5231454,68.0851538,37.229805,34,46,11.2,13.1,13,10032.42,28.14999962,7.403366,1,222983.4319
12_0,208,11,824.7425189,815.0452249,824.7425189,9.697294,191.29712,37,53,9.6,12.4,39,2138.6836,33.29000092,14.550987,1,13427.70087
13_0,181,11,998.8196546,300.9362119,998.8196546,697.8834427,121.24639,34,45,11.5,13.5,6,7380.509,25.07999992,0.64756936,1,228074.5522
14_0,127,10,1070.71921,689.3617325,1070.71921,381.3574775,95.37102,41,53,9.8,12.3,-39,9267.19,28.38999939,35.287617,1,773512.469
15_0,180,9,485.1482964,39.76864956,485.1482964,445.3796468,115.1478,47,63,7.6,11,40,4151.346,18.5,10.821964,1,212820.6606
16_0,250,10,553.7916253,585.1998206,585.1998206,-31.4081953,194.26399,51,61,8.5,10.7,10,8049.3516,24.22999954,39.17229,1,203292.1989
17_0,202,10,2233.053831,2608.667279,2608.667279,-375.613448,184.93617,46,60,8.1,11.7,74,8944.007,19.94999886,7.779236,1,525087.8774
18_0,160,10,915.2204812,680.9503767,915.2204812,234.2701045,105.11933,35,46,11.2,13.4,19,7380.509,24.1099987,20.005219,1,228074.5522
19_0,145,11,1150.613584,537.3016635,1150.613584,613.3119205,329.90994,43,56,9.2,12,-41,8635.756,17.57999992,24.335213,1,434501.2462
20_0,207,1,1137.227414,593.3142222,1137.227414,543.9131918,145.74536,41,53,9.8,12.3,71,7682.297,27.68999863,27.484402,1,613549.404
21_0,122,11,981.3819429,572.4908224,981.3819429,408.8911205,0.028516863,46,60,8.2,11.5,-15,6635.1235,20.53999901,18.982512,1,397878.3645
22_0,194,10,4027.001917,378.6207524,4027.001917,3648.381165,271.71063,62,76,5.8,8.6,-39,9654.514,18.30999947,14.315314,1,387462.6733
23_0,189,4,226.8131109,98.29604885,226.8131109,128.5170621,272.37183,33,48,11.1,13.1,17,2122.7507,27.34000015,11.12083,1,29004.28644
24_0,222,1,480.1491958,455.1328644,480.1491958,25.0163314,155.47649,46,62,8,10.4,135,1007.8439,20.53999901,32.162514,1,7334.259399
25_0,224,10,1181.398679,595.5881088,1181.398679,585.8105702,182.03812,39,54,9.2,12.1,17,5985.609,33.29000092,15.999647,1,146184.7955
26_0,103,10,638.3158181,576.4911929,638.3158181,61.8246252,22.84532,35,46,11.2,13.4,43,8805.521,21.05999947,23.069355,1,284132.6337
27_0,36,8,-24.12354242,558.4323722,558.4323722,-582.5559146,26.962147,54,75,6.7,8.6,0,1501.6804,12.47999954,37.81515,1,19535.14777
28_0,54,11,1104.561811,-177.3005639,1104.561811,1281.862375,30.205189,34,49,9.6,13.8,10,3261.1924,36.88999939,32.313553,1,80901.00543
29_0,202,11,1629.061309,2867.912875,2867.912875,-1238.851566,264.27655,61,74,6.2,8.9,65,9715.495,21.39999962,17.875072,1,630853.6157
30_0,194,10,834.87231,225.1935748,834.87231,609.6787352,176.6971,34,46,11,13.1,37,1587.6958,18.88999939,4.5821886,1,47858.23958
31_0,194,11,1023.407516,281.4550642,1023.407516,741.9524518,257.77557,39,54,9.2,12.1,70,5985.609,34.30999756,6.3672485,1,146184.7955
32_0,158,1,1145.39751,572.7887442,1145.39751,572.6087658,341.63055,44,57,8.9,11.7,34,8635.756,18.97999954,20.739603,1,434501.2462
33_0,159,1,851.0153823,597.3091338,851.0153823,253.7062485,114.19734,59,74,6.2,9,-89,4115.002,14.43999958,35.475994,1,343079.9783
35_0,190,1,881.6237257,734.0836252,881.6237257,147.5401005,259.01108,35,49,10.5,12.9,22,5274.028,28.97999954,6.6347895,1,76085.81708
36_0,179,1,1070.446072,170.2530929,1070.446072,900.1929791,127.46291,35,46,11.2,13.4,25,8805.521,21.86999893,26.033508,1,284132.6337
37_0,232,1,953.8234556,325.0780136,953.8234556,628.745442,178.95483,62,77,6,8.2,-101,8542.786,20.93999863,19.558836,1,184240.4236
38_0,217,1,1109.064393,434.0872909,1109.064393,674.9771021,227.209,51,64,7.5,10.8,80,9645.574,21.01000023,13.304618,1,153796.9077
40_0,246,9,1100.834312,833.7854224,1100.834312,267.0488896,202.37753,37,53,8.8,13,49,9920.783,33.88999939,28.895536,1,285145.3884
